temperature,humidity,health_status
20.0,40.0,Safe
21.5,45.0,Safe
22.0,50.0,Safe
23.0,55.0,Safe
24.5,60.0,Safe
25.0,35.0,Safe
26.0,40.0,Safe
27.0,50.0,Safe
28.0,45.0,Safe
29.0,30.0,Safe
30.0,25.0,Safe
28.5,65.0,Caution
29.5,70.0,Caution
30.5,75.0,Caution
31.0,60.0,Caution
32.0,55.0,Caution
33.0,50.0,Caution
34.0,45.0,Caution
32.5,80.0,Danger
33.5,85.0,Danger
34.5,75.0,Danger
35.0,70.0,Danger
36.0,65.0,Danger
37.0,50.0,Danger
38.0,40.0,Danger
39.0,30.0,Danger
40.0,90.0,Danger
31.5,85.0,Danger
30.0,80.0,Caution
22.0,85.0,Caution
15.0,20.0,Caution
12.0,15.0,Danger
10.0,10.0,Danger
